,0
1115,Ricky Sobers
1116,Terry Thomas
1117,Rudy White
1118,Gus Williams
1119,Bill Willoughby
1120,Tom Abernethy
1121,Bird Averitt
1122,Tom Barker
1123,Marvin Barnes
1124,Norton Barnhill
1125,Mike Barr
1126,Tim Bassett
1127,Byron Beck
1128,Mel Bennett
1129,Ron Boone
1130,Quinn Buckner
1131,Ticky Burden
1132,Don Buse
1133,Mack Calvin
1134,M.L. Carr
1135,Cornelius Cash
1136,Norm Cook
1137,Louie Dampier
1138,Mel Daniels
1139,Adrian Dantley
1140,Johnny Davis
1141,Ron Davis
1142,Randy Denton
1143,Coby Dietrick
1144,Leon Douglas
1145,Mike Dunleavy
1146,Jim Eakins
1147,Len Elmore
1148,Darrell Elston
1149,Alex English
1150,Julius Erving
1151,Butch Feher
1152,Mike Flynn
1153,Terry Furlow
1154,Mike Gale
1155,Gus Gerard
1156,George Gervin
1157,Artis Gilmore
1158,Mike Green
1159,Steve Green
1160,Paul Griffin
1161,Rudy Hackett
1162,Phil Hicks
1163,Armond Hill
1164,Darnell Hillman
1165,Mo Howard
1166,Kim Hughes
1167,Dan Issel
1168,Dennis Johnson
1169,Bobby Jones
1170,Caldwell Jones
1171,Rich Jones
1172,Robin Jones
1173,Wil Jones
1174,George Karl
1175,Goo Kennedy
1176,Larry Kenon
1177,Billy Knight
1178,Mitch Kupchak
1179,Bo Lamar
1180,Ron Lee
1181,Scott Lloyd
1182,John Lucas
1183,Maurice Lucas
1184,Moses Malone
1185,Scott May
1186,Andre McCarter
1187,Ted McClain
1188,Allen Murphy
1189,Swen Nater
1190,Johnny Neumann
1191,Mark Olberding
1192,Tom Owens
1193,Joe Pace
1194,Robert Parish
1195,Sonny Parker
1196,Billy Paultz
1197,Marv Roberts
1198,Dave Robisch
1199,Marshall Rogers
1200,Dan Roundfield
1201,Phil Sellers
1202,Lonnie Shelton
1203,James Silas
1204,Ralph Simpson
1205,Al Skinner
1206,Willie Smith
1207,Keith Starr
1208,Earl Tatum
1209,Brian Taylor
1210,Fatty Taylor
1211,Ira Terrell
1212,Claude Terry
1213,David Thompson
1214,Monte Towe
1215,Dave Twardzik
1216,Jan van Breda Kolff
1217,Andy Walker
1218,Wally Walker
1219,Lloyd Walton
1220,Henry Ward
1221,Richard Washington
1222,Marvin Webster
1223,Bob Wilkerson
1224,Chuck Williams
1225,Chuckie Williams
1226,John Williamson
1227,Willie Wise
1228,Larry Wright
1229,Tate Armstrong
1230,Greg Ballard
1231,Kent Benson
1232,Otis Birdsong
1233,Phil Bond
1234,Jim Bostic
1235,Alonzo Bradley
1236,Mike Bratz
1237,Wayman Britt
1238,Kenny Carr
1239,Bob Carrington
1240,Wesley Cox
1241,Charlie Criss
1242,Mark Crow
1243,Brad Davis
1244,Walter Davis
1245,Jacky Dorsey
1246,T.R. Dunn
1247,James Edwards
1248,Bo Ellis
1249,Al Fleming
1250,Bayard Forrest
1251,Mike Glenn
1252,Glen Gondrezick
1253,Rickey Green
1254,Greg Griffin
1255,Ernie Grunfeld
1256,Joe Hassett
1257,Eddie Johnson
1258,Larry Johnson
1259,Marques Johnson
1260,Eddie Jordan
1261,Bernard King
1262,Toby Knight
1263,John Kuester
1264,Tom LaGarde
1265,Mark Landsberger
1266,Rich Laurel
1267,Ricky Marsh
1268,Cedric Maxwell
1269,Larry Moffett
1270,Glenn Mosley
1271,Norm Nixon
1272,Eddie Owens
1273,Ben Poquette
1274,Robert Reid
1275,Anthony Roberts
1276,Tony Robertson
1277,Tree Rollins
1278,Alvin Scott
1279,Steve Sheppard
1280,Jack Sikma
1281,Scott Sims
1282,Robert Smith
1283,Phil Walker
1284,Wilson Washington
1285,Ray Williams
1286,Kim Anderson
1287,Del Beshore
1288,Dennis Boyd
1289,Winford Boynes
1290,Ron Brewer
1291,Greg Bunch
1292,Marty Byrnes
1293,Ron Carter
1294,Maurice Cheeks
1295,Michael Cooper
1296,Wayne Cooper
1297,Dave Corzine
1298,Geoff Crompton
1299,Harry Davis
1300,Bob Elliott
1301,Ray Epps
1302,Phil Ford
1303,Jack Givens
1304,Tommie Green
1305,Lars Hansen
1306,James Hardy
1307,Keith Herron
1308,Kenny Higgs
1309,Essie Hollis
1310,Otis Howard
1311,Clemon Johnson
1312,Jeff Judkins
1313,Joel Kramer
1314,Butch Lee
1315,John Long
1316,Billy McKinney
1317,Mike Mitchell
1318,John Olive
1319,Roger Phegley
1320,Stan Pietkiewicz
1321,Wayne Radford
1322,Marlon Redmond
1323,Micheal Ray Richardson
1324,Rick Robey
1325,Jackie Robinson
1326,John Rudd
1327,Frankie Sanders
1328,Purvis Short
1329,Sam Smith
1330,Reggie Theus
1331,Mychal Thompson
1332,Raymond Townsend
1333,Terry Tyler
1334,Andre Wakefield
1335,Jerome Whitehead
1336,Freeman Williams
1337,Rick Wilson
1338,James Bailey
1339,Billy Ray Bates
1340,Larry Bird
1341,Lawrence Boston
1342,Dudley Bradley
1343,Bill Cartwright
1344,Jeff Cook
1345,Hollis Copeland
1346,John Coughran
1347,Terry Crosby
1348,Pat Cummings
1349,Paul Dawkins
1350,Greg Deane
1351,Larry Demic
1352,Terry Duerod
1353,Earl Evans
1354,Mike Evans
1355,Gary Garland
1356,Dave Greenwood
1357,Roy Hamilton
1358,Gerald Henderson
1359,Johnny High
